10541A1228,R21026,ELECTRONIC DEVICES AND CIRCUITS,---,No Change,---
11541A0317,R21032,THERMODYNAMICS,---,No Change,---
11541A0432,R21026,ELECTRONIC DEVICES AND CIRCUITS,---,No Change,---
14541A0305,RT21031,METALLURGY & MATERIALS SCIENCE,---,No Change,---
14541A0391,RT21033,THERMODYNAMICS,---,No Change,---
14545A0209,RT21024,COMPLEX VARIABLES AND STATISTICAL METHOD,---,No Change,---
15541A0319,RT21032,MECHANICS OF SOLIDS,---,No Change,---
15541A0339,RT21032,MECHANICS OF SOLIDS,---,No Change,---
15541A0341,RT21032,MECHANICS OF SOLIDS,---,No Change,---
15545A0409,RT21041,ELECTRONIC DEVICES AND CIRCUITS,19,31,3
15545A0416,RT21044,SIGNALS AND SYSTEMS,---,No Change,---
15545A0427,RT21041,ELECTRONIC DEVICES AND CIRCUITS,13,28,3
16545A0303,RT21032,MECHANICS OF SOLIDS,---,No Change,---
16545A0316,RT21032,MECHANICS OF SOLIDS,---,No Change,---
16545A0421,RT21041,ELECTRONIC DEVICES AND CIRCUITS,17,29,3
