14541A0309,RT32031,OPERATIONS RESEARCH,20,29,3
14541A0311,RT32034,ROBOTICS,---,No Change,---
14541A0324,RT32037A,REFRIGERATION & AIR CONDITIONING,---,No Change,---
14541A0369,RT32032,INTERACTIVE COMPUTER GRAPHICS,---,No Change,---
14541A0369,RT32033,DESIGN OF MACHINE MEMBERS  II,---,No Change,---
14541A0370,RT32031,OPERATIONS RESEARCH,---,No Change,---
14541A0370,RT32032,INTERACTIVE COMPUTER GRAPHICS,---,No Change,---
14541A0370,RT32034,ROBOTICS,14,30,3
14541A0385,RT32032,INTERACTIVE COMPUTER GRAPHICS,---,No Change,---
14541A0417,RT32041,MICROPROCESSORS AND MICROCONTROLLERS,---,No Change,---
14541A0549,RT32055,WEB TECHNOLOGIES,---,No Change,---
15541A0305,RT32036,INDUSTRIAL ENGINEERING MANAGEMENT,---,No Change,---
15541A0318,RT32033,DESIGN OF MACHINE MEMBERS  II,25,24,3
15541A0319,RT32035,HEAT TRANSFER,27,24,3
15541A0468,RT32041,MICROPROCESSORS AND MICROCONTROLLERS,21,28,3
15541A0468,RT32042,DIGITAL SIGNAL PROCESSING,---,No Change,---
15541A0555,RT32053,COMPUTER NETWORKS,---,No Change,---
15541A0555,RT32055,WEB TECHNOLOGIES,---,No Change,---
15541A0562,RT32052,DATA WARE HOUSING AND MINING,---,No Change,---
16545A0303,RT32031,OPERATIONS RESEARCH,---,No Change,---
16545A0305,RT32037A,REFRIGERATION & AIR CONDITIONING,---,No Change,---
16545A0316,RT32034,ROBOTICS,---,No Change,---
16545A0425,RT32042,DIGITAL SIGNAL PROCESSING,---,No Change,---
16545A0425,RT32043,DIGITAL COMMUNICATIONS,---,No Change,---
16545A0425,RT32044,MICROWAVE ENGINEERING,---,No Change,---
