12541A0306,RT41033,FINITE ELEMENT METHODS,---,No Change,---
13541A0310,RT41033,FINITE ELEMENT METHODS,---,No Change,---
13541A0315,RT41033,FINITE ELEMENT METHODS,---,No Change,---
14541A0311,RT41033,FINITE ELEMENT METHODS,---,No Change,---
14541A0316,RT41033,FINITE ELEMENT METHODS,---,No Change,---
14541A0333,RT41031,AUTOMOBILE ENGINEERING,---,No Change,---
14541A0343,RT41033,FINITE ELEMENT METHODS,23,31,3
14541A0344,RT41033,FINITE ELEMENT METHODS,---,No Change,---
14541A0353,RT41032,CAD / CAM,---,No Change,---
14541A0359,RT41033,FINITE ELEMENT METHODS,---,No Change,---
14541A0364,RT41033,FINITE ELEMENT METHODS,---,No Change,---
14541A0365,RT41033,FINITE ELEMENT METHODS,---,No Change,---
14541A0374,RT41033,FINITE ELEMENT METHODS,---,No Change,---
14541A0375,RT41033,FINITE ELEMENT METHODS,---,No Change,---
14541A0386,RT41032,CAD / CAM,---,No Change,---
14541A0387,RT41033,FINITE ELEMENT METHODS,---,No Change,---
14541A0394,RT41033,FINITE ELEMENT METHODS,---,No Change,---
14541A0510,RT41051,CRYPTOGRAPHY AND NETWORK SECURITY,---,No Change,---
14545A0412,RT41043,DIGITAL IMAGE PROCESSING,---,No Change,---
14545A0414,RT41043,DIGITAL IMAGE PROCESSING,---,No Change,---
15545A0208,RT41023,POWER SYSTEM OPERATION AND CONTROL,---,No Change,---
15545A0304,RT41033,FINITE ELEMENT METHODS,---,No Change,---
15545A0306,RT41033,FINITE ELEMENT METHODS,---,No Change,---
15545A0310,RT41033,FINITE ELEMENT METHODS,---,No Change,---
15545A0407,RT41043,DIGITAL IMAGE PROCESSING,25,25,3
15545A0411,RT41043,DIGITAL IMAGE PROCESSING,22,27,3
