13541A0310,RT42033D,POWER PLANT ENGINEERING,---,No Change,---
14541A0304,RT42032,GREEN ENGINEERING SYSTEMS,---,No Change,---
14541A0311,RT42032,GREEN ENGINEERING SYSTEMS,---,No Change,---
14541A0388,RT42033D,POWER PLANT ENGINEERING,---,No Change,---
14541A0422,RT42042,ELECTRONIC MEASUREMENTS AND INSTRUMENTAT,---,No Change,---
14541A0448,RT42042,ELECTRONIC MEASUREMENTS AND INSTRUMENTAT,---,No Change,---
14541A0455,RT42042,ELECTRONIC MEASUREMENTS AND INSTRUMENTAT,---,No Change,---
14541A0457,RT42042,ELECTRONIC MEASUREMENTS AND INSTRUMENTAT,---,No Change,---
15545A0208,RT42021,DIGITAL CONTROL SYSTEMS,---,No Change,---
15545A0215,RT42021,DIGITAL CONTROL SYSTEMS,---,No Change,---
15545A0303,RT42032,GREEN ENGINEERING SYSTEMS,---,No Change,---
15545A0307,RT42032,GREEN ENGINEERING SYSTEMS,---,No Change,---
15545A0307,RT42033D,POWER PLANT ENGINEERING,---,No Change,---
14541A0451,RT42042,ELECTRONIC MEASUREMENTS AND INSTRUMENTA,22,24,3
